superclass_name_linked	superclass_iri	subclass_name	subclass_iri	Analysis	Recommended Mapping	Type of mapping issue	Status
secondary fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0002817>	secondary fissure	<http://purl.obolibrary.org/obo/HBA_9416>	OK			
secondary fissure of cerebellum	<http://purl.obolibrary.org/obo/UBERON_0002817>	secondary fissure	<http://purl.obolibrary.org/obo/MBA_3>	OK			
secondary prosencephalon	<http://purl.obolibrary.org/obo/UBERON_0036218>	secondary prosencephalon	<http://purl.obolibrary.org/obo/DMBA_15567>	OK			
secondary somatosensory cortex	<http://purl.obolibrary.org/obo/UBERON_0008934>	supplemental somatosensory area	<http://purl.obolibrary.org/obo/MBA_378>	OK			
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	hindbrain neuromeres	http://purl.obolibrary.org/obo/DHBA_12664	gen	rhombomere (http://purl.obolibrary.org/obo/UBERON_0001892)		
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 1	http://purl.obolibrary.org/obo/DMBA_16915	gen	rhombomere 1 (http://purl.obolibrary.org/obo/UBERON_0005499)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 2	<http://purl.obolibrary.org/obo/DMBA_17023>	gen	rhombomere 2 (http://purl.obolibrary.org/obo/UBERON_0005569)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 3	<http://purl.obolibrary.org/obo/DMBA_17093>	gen	rhombomere 3 (http://purl.obolibrary.org/obo/UBERON_0005507)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 4	<http://purl.obolibrary.org/obo/DMBA_17156>	gen	rhombomere 4 (http://purl.obolibrary.org/obo/UBERON_0005511)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 5	<http://purl.obolibrary.org/obo/DMBA_17221>	gen	rhombomere 5 (http://purl.obolibrary.org/obo/UBERON_0005515)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 6	<http://purl.obolibrary.org/obo/DMBA_17290>	gen	rhombomere 6 (http://purl.obolibrary.org/obo/UBERON_0005519)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 7	<http://purl.obolibrary.org/obo/DMBA_17353>	gen	rhombomere 7 (http://purl.obolibrary.org/obo/UBERON_0005523)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 8	<http://purl.obolibrary.org/obo/DMBA_17416>	gen	rhombomere 8 (http://purl.obolibrary.org/obo/UBERON_0005527)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 9	<http://purl.obolibrary.org/obo/DMBA_17476>	gen	rhombomere 9 (http://purl.obolibrary.org/obo/UBERON_0019284)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 10	<http://purl.obolibrary.org/obo/DMBA_17538>	gen	rhombomere 10 (http://purl.obolibrary.org/obo/UBERON_0019285)		Verified
segmental subdivision of hindbrain	<http://purl.obolibrary.org/obo/UBERON_0004733>	rhombomere 11	<http://purl.obolibrary.org/obo/DMBA_17596>	gen	rhombomere 11 (http://purl.obolibrary.org/obo/UBERON_0019286)		Verified
sensory root of facial nerve	<http://purl.obolibrary.org/obo/UBERON_0001699>	root of intermediate nerve	<http://purl.obolibrary.org/obo/DHBA_12864>	OK			
sensory root of facial nerve	<http://purl.obolibrary.org/obo/UBERON_0001699>	intermediate nerve	<http://purl.obolibrary.org/obo/MBA_1131>	OK			
sensory root of trigeminal nerve	<http://purl.obolibrary.org/obo/UBERON_0009907>	sensory root of trigeminal nerve	<http://purl.obolibrary.org/obo/DHBA_12867>	OK			
sensory root of trigeminal nerve	<http://purl.obolibrary.org/obo/UBERON_0009907>	sensory root of the trigeminal nerve	<http://purl.obolibrary.org/obo/MBA_229>	OK			
septal nuclear complex	<http://purl.obolibrary.org/obo/UBERON_0002663>	septal nuclei	<http://purl.obolibrary.org/obo/DHBA_10350>	OK			
septal nuclear complex	<http://purl.obolibrary.org/obo/UBERON_0002663>	septal nuclei	<http://purl.obolibrary.org/obo/HBA_13002>	OK			
septofimbrial nucleus	<http://purl.obolibrary.org/obo/UBERON_0001878>	septofimbrial nucleus	<http://purl.obolibrary.org/obo/DHBA_13032>	OK			
septofimbrial nucleus	<http://purl.obolibrary.org/obo/UBERON_0001878>	septofimbrial nucleus	<http://purl.obolibrary.org/obo/DMBA_15780>	OK			
septofimbrial nucleus	<http://purl.obolibrary.org/obo/UBERON_0001878>	septofimbrial nucleus	<http://purl.obolibrary.org/obo/MBA_310>	OK			
septohippocampal nucleus	<http://purl.obolibrary.org/obo/UBERON_0007630>	septohippocampal nucleus	<http://purl.obolibrary.org/obo/DMBA_16204>	OK			
septohippocampal nucleus	<http://purl.obolibrary.org/obo/UBERON_0007630>	septohippocampal nucleus	<http://purl.obolibrary.org/obo/MBA_333>	OK			
septohypothalamic nucleus	<http://purl.obolibrary.org/obo/UBERON_0019308>	septohypothalamic nucleus	<http://purl.obolibrary.org/obo/DHBA_13033>	OK			
septohypothalamic nucleus	<http://purl.obolibrary.org/obo/UBERON_0019308>	septohypothalamic nucleus	<http://purl.obolibrary.org/obo/DMBA_15761>	OK			
septum pellucidum	<http://purl.obolibrary.org/obo/UBERON_0004714>	septum pellucidum	<http://purl.obolibrary.org/obo/DHBA_12098>	OK			
shell of nucleus accumbens	<http://purl.obolibrary.org/obo/UBERON_0012171>	shell of nucleus accumbens	<http://purl.obolibrary.org/obo/DHBA_10341>	OK			
shell of nucleus accumbens	<http://purl.obolibrary.org/obo/UBERON_0012171>	shell of nucleus accumbens	<http://purl.obolibrary.org/obo/PBA_10094>	OK			
solitary tract	<http://purl.obolibrary.org/obo/UBERON_0002718>	solitary tract	<http://purl.obolibrary.org/obo/DHBA_12783>	OK			
solitary tract	<http://purl.obolibrary.org/obo/UBERON_0002718>	solitary tract	<http://purl.obolibrary.org/obo/DMBA_17796>	OK			
solitary tract	<http://purl.obolibrary.org/obo/UBERON_0002718>	solitary tract	<http://purl.obolibrary.org/obo/HBA_265505626>	OK			
solitary tract	<http://purl.obolibrary.org/obo/UBERON_0002718>	solitary tract	<http://purl.obolibrary.org/obo/MBA_237>	OK			
somatosensory cortex	<http://purl.obolibrary.org/obo/UBERON_0008930>	somatosensory areas	<http://purl.obolibrary.org/obo/MBA_453>	OK			
spinal cord	<http://purl.obolibrary.org/obo/UBERON_0002240>	spinal cord	<http://purl.obolibrary.org/obo/DHBA_12890>	OK			
spinal cord	<http://purl.obolibrary.org/obo/UBERON_0002240>	spinal cord	<http://purl.obolibrary.org/obo/DMBA_17651>	OK			
spinal cord dorsal column	<http://purl.obolibrary.org/obo/UBERON_0005373>	dorsal column	<http://purl.obolibrary.org/obo/MBA_514>	OK			
spinal cord gray commissure	<http://purl.obolibrary.org/obo/UBERON_0004677>	central glial substance	<http://purl.obolibrary.org/obo/DHBA_12647>	gen		HAS PARALLEL	
spinal cord gray commissure	<http://purl.obolibrary.org/obo/UBERON_0004677>	central glial substance	<http://purl.obolibrary.org/obo/HBA_9525>	gen		HAS PARALLEL	
spinal cord ventral commissure	<http://purl.obolibrary.org/obo/UBERON_0004170>	ventral commissure of the spinal cord	<http://purl.obolibrary.org/obo/MBA_858>	OK			
spinal nerve root	<http://purl.obolibrary.org/obo/UBERON_0009623>	roots of spinal nerves	<http://purl.obolibrary.org/obo/DHBA_146035120>	OK			
spinal nucleus of trigeminal nerve	<http://purl.obolibrary.org/obo/UBERON_0001717>	spinal trigeminal nucleus	<http://purl.obolibrary.org/obo/DHBA_12572>	OK			
spinal nucleus of trigeminal nerve	<http://purl.obolibrary.org/obo/UBERON_0001717>	spinal trigeminal nucleus	<http://purl.obolibrary.org/obo/HBA_9676>	OK			
spinal trigeminal tract	<http://purl.obolibrary.org/obo/UBERON_0014761>	spinal trigeminal tract	<http://purl.obolibrary.org/obo/DHBA_12792>	OK			
spinal trigeminal tract	<http://purl.obolibrary.org/obo/UBERON_0014761>	descending trigeminal tract	<http://purl.obolibrary.org/obo/DMBA_17797>	OK			
spinal trigeminal tract	<http://purl.obolibrary.org/obo/UBERON_0014761>	spinal trigeminal tract	<http://purl.obolibrary.org/obo/HBA_265505650>	OK			
spinal trigeminal tract	<http://purl.obolibrary.org/obo/UBERON_0014761>	spinal tract of the trigeminal nerve	<http://purl.obolibrary.org/obo/MBA_794>	OK			
spino-olivary tract	<http://purl.obolibrary.org/obo/UBERON_0002719>	spino-olivary tract	<http://purl.obolibrary.org/obo/DHBA_12793>	OK			
spino-olivary tract	<http://purl.obolibrary.org/obo/UBERON_0002719>	spino-olivary pathway	<http://purl.obolibrary.org/obo/MBA_261>	OK			
spinocerebellar tract	<http://purl.obolibrary.org/obo/UBERON_0005413>	spinocerebellar tract	<http://purl.obolibrary.org/obo/DHBA_12749>	OK			
spinocerebellar tract	<http://purl.obolibrary.org/obo/UBERON_0005413>	spinocerebellar tract	<http://purl.obolibrary.org/obo/MBA_85>	OK			
spinothalamic tract	<http://purl.obolibrary.org/obo/UBERON_0007703>	spinothalamic tract	<http://purl.obolibrary.org/obo/DHBA_12789>	OK			
spinothalamic tract	<http://purl.obolibrary.org/obo/UBERON_0007703>	spinothalamic tract	<http://purl.obolibrary.org/obo/MBA_871>	OK			
spinothalamic tract of pons	<http://purl.obolibrary.org/obo/UBERON_0002798>	spinotectal pathway	<http://purl.obolibrary.org/obo/MBA_277>	OK			
splenium of the corpus callosum	<http://purl.obolibrary.org/obo/UBERON_0015708>	splenium of corpus callosum	<http://purl.obolibrary.org/obo/DHBA_10565>	OK			
splenium of the corpus callosum	<http://purl.obolibrary.org/obo/UBERON_0015708>	splenium of the corpus callosum	<http://purl.obolibrary.org/obo/HBA_9225>	OK			
splenium of the corpus callosum	<http://purl.obolibrary.org/obo/UBERON_0015708>	corpus callosum, splenium	<http://purl.obolibrary.org/obo/MBA_986>	OK			
stratum lacunosum-moleculare of caudal CA1	<http://purl.obolibrary.org/obo/UBERON_0034798>	stratum lacunosum-moleculare of caudal CA1	<http://purl.obolibrary.org/obo/DHBA_11281>	OK			
stratum lacunosum-moleculare of caudal CA2	<http://purl.obolibrary.org/obo/UBERON_0034803>	stratum lacunosum-moleculare of caudal CA2	<http://purl.obolibrary.org/obo/DHBA_11291>	OK			
stratum lacunosum-moleculare of caudal CA3	<http://purl.obolibrary.org/obo/UBERON_0034808>	stratum lacunosum-moleculare of caudal CA3	<http://purl.obolibrary.org/obo/DHBA_11302>	OK			
stratum lacunosum-moleculare of rostral CA1	<http://purl.obolibrary.org/obo/UBERON_0034828>	stratum lacunosum-moleculare of rostral CA1	<http://purl.obolibrary.org/obo/DHBA_11276>	OK			
stratum lacunosum-moleculare of rostral CA2	<http://purl.obolibrary.org/obo/UBERON_0034833>	stratum lacunosum-moleculare of rostral CA2	<http://purl.obolibrary.org/obo/DHBA_11286>	OK			
stratum lacunosum-moleculare of rostral CA3	<http://purl.obolibrary.org/obo/UBERON_0034838>	stratum lacunosum-moleculare of rostral CA3	<http://purl.obolibrary.org/obo/DHBA_11296>	OK			
stratum lacunosum-moleculare of uncal CA1	<http://purl.obolibrary.org/obo/UBERON_0034858>	stratum lacunosum-moleculare of uncal CA1	<http://purl.obolibrary.org/obo/DHBA_266441271>	OK			
stratum lacunosum-moleculare of uncal CA2	<http://purl.obolibrary.org/obo/UBERON_0034863>	stratum lacunosum-moleculare of uncal CA2	<http://purl.obolibrary.org/obo/DHBA_266441315>	OK			
stratum lacunosum-moleculare of uncal CA3	<http://purl.obolibrary.org/obo/UBERON_0034868>	stratum lacunosum-moleculare of uncal CA3	<http://purl.obolibrary.org/obo/DHBA_266441359>	OK			
stratum lemnisci of superior colliculus	<http://purl.obolibrary.org/obo/UBERON_0006782>	stratum lemnisci of the superior colliculus, left	<http://purl.obolibrary.org/obo/HBA_9116>	OK			
stratum lucidum of caudal CA3	<http://purl.obolibrary.org/obo/UBERON_0034810>	stratum lucidum  of caudal CA3	<http://purl.obolibrary.org/obo/DHBA_11304>	OK			
stratum lucidum of rostral CA3	<http://purl.obolibrary.org/obo/UBERON_0034840>	stratum lucidum  of rostral CA3	<http://purl.obolibrary.org/obo/DHBA_11298>	OK			
stratum lucidum of uncal CA3	<http://purl.obolibrary.org/obo/UBERON_0034870>	stratum lucidum  of uncal CA3	<http://purl.obolibrary.org/obo/DHBA_266441375>	OK			
stratum oriens of caudal CA1	<http://purl.obolibrary.org/obo/UBERON_0034801>	stratum oriens of caudal CA1	<http://purl.obolibrary.org/obo/DHBA_11284>	OK			
stratum oriens of caudal CA2	<http://purl.obolibrary.org/obo/UBERON_0034806>	stratum oriens of caudal CA2	<http://purl.obolibrary.org/obo/DHBA_11294>	OK			
stratum oriens of caudal CA3	<http://purl.obolibrary.org/obo/UBERON_0034812>	stratum oriens of caudal CA3	<http://purl.obolibrary.org/obo/DHBA_11306>	OK			
stratum oriens of rostral CA1	<http://purl.obolibrary.org/obo/UBERON_0034831>	stratum oriens of rostral CA1	<http://purl.obolibrary.org/obo/DHBA_11279>	OK			
stratum oriens of rostral CA2	<http://purl.obolibrary.org/obo/UBERON_0034836>	stratum oriens of rostral CA2	<http://purl.obolibrary.org/obo/DHBA_11289>	OK			
stratum oriens of rostral CA3	<http://purl.obolibrary.org/obo/UBERON_0034842>	stratum oriens of rostral CA3	<http://purl.obolibrary.org/obo/DHBA_11300>	OK			
stratum oriens of uncal CA1	<http://purl.obolibrary.org/obo/UBERON_0034861>	stratum oriens of uncal CA1	<http://purl.obolibrary.org/obo/DHBA_266441291>	OK			
stratum oriens of uncal CA2	<http://purl.obolibrary.org/obo/UBERON_0034866>	stratum oriens of uncal CA2	<http://purl.obolibrary.org/obo/DHBA_266441335>	OK			
stratum oriens of uncal CA3	<http://purl.obolibrary.org/obo/UBERON_0034872>	stratum oriens of uncal CA3	<http://purl.obolibrary.org/obo/DHBA_266441383>	OK			
stratum pyramidale of caudal CA1	<http://purl.obolibrary.org/obo/UBERON_0034800>	stratum pyramidale of caudal CA1	<http://purl.obolibrary.org/obo/DHBA_11283>	OK			
stratum pyramidale of caudal CA2	<http://purl.obolibrary.org/obo/UBERON_0034805>	stratum pyramidale of caudal CA2	<http://purl.obolibrary.org/obo/DHBA_11293>	OK			
stratum pyramidale of caudal CA3	<http://purl.obolibrary.org/obo/UBERON_0034811>	stratum pyramidale of caudal CA3	<http://purl.obolibrary.org/obo/DHBA_11305>	OK			
stratum pyramidale of rostral CA1	<http://purl.obolibrary.org/obo/UBERON_0034830>	stratum pyramidale of rostral CA1	<http://purl.obolibrary.org/obo/DHBA_11278>	OK			
stratum pyramidale of rostral CA2	<http://purl.obolibrary.org/obo/UBERON_0034835>	stratum pyramidale of rostral CA2	<http://purl.obolibrary.org/obo/DHBA_11288>	OK			
stratum pyramidale of rostral CA3	<http://purl.obolibrary.org/obo/UBERON_0034841>	stratum pyramidale of rostral CA3	<http://purl.obolibrary.org/obo/DHBA_11299>	OK			
stratum pyramidale of uncal CA1	<http://purl.obolibrary.org/obo/UBERON_0034860>	stratum pyramidale of uncal CA1	<http://purl.obolibrary.org/obo/DHBA_266441287>	OK			
stratum pyramidale of uncal CA2	<http://purl.obolibrary.org/obo/UBERON_0034865>	stratum pyramidale of uncal CA2	<http://purl.obolibrary.org/obo/DHBA_266441331>	OK			
stratum pyramidale of uncal CA3	<http://purl.obolibrary.org/obo/UBERON_0034871>	stratum pyramidale of uncal CA3	<http://purl.obolibrary.org/obo/DHBA_266441379>	OK			
stratum radiatum of caudal CA1	<http://purl.obolibrary.org/obo/UBERON_0034799>	stratum radiatum of caudal CA1	<http://purl.obolibrary.org/obo/DHBA_11282>	OK			
stratum radiatum of caudal CA2	<http://purl.obolibrary.org/obo/UBERON_0034804>	stratum radiatum of caudal CA2	<http://purl.obolibrary.org/obo/DHBA_11292>	OK			
stratum radiatum of caudal CA3	<http://purl.obolibrary.org/obo/UBERON_0034809>	stratum radiatum of caudal CA3	<http://purl.obolibrary.org/obo/DHBA_11303>	OK			
stratum radiatum of rostral CA1	<http://purl.obolibrary.org/obo/UBERON_0034829>	stratum radiatum of rostral CA1	<http://purl.obolibrary.org/obo/DHBA_11277>	OK			
stratum radiatum of rostral CA2	<http://purl.obolibrary.org/obo/UBERON_0034834>	stratum radiatum of rostral CA2	<http://purl.obolibrary.org/obo/DHBA_11287>	OK			
stratum radiatum of rostral CA3	<http://purl.obolibrary.org/obo/UBERON_0034839>	stratum radiatum of rostral CA3	<http://purl.obolibrary.org/obo/DHBA_11297>	OK			
stratum radiatum of uncal CA1	<http://purl.obolibrary.org/obo/UBERON_0034859>	stratum radiatum of uncal CA1	<http://purl.obolibrary.org/obo/DHBA_266441283>	OK			
stratum radiatum of uncal CA2	<http://purl.obolibrary.org/obo/UBERON_0034864>	stratum radiatum of uncal CA2	<http://purl.obolibrary.org/obo/DHBA_266441327>	OK			
stratum radiatum of uncal CA3	<http://purl.obolibrary.org/obo/UBERON_0034869>	stratum radiatum of uncal CA3	<http://purl.obolibrary.org/obo/DHBA_266441371>	OK			
stratum zonale of thalamus	<http://purl.obolibrary.org/obo/UBERON_0002801>	stratum zonale of thalamus	<http://purl.obolibrary.org/obo/DHBA_12085>	OK			
stratum zonale of thalamus	<http://purl.obolibrary.org/obo/UBERON_0002801>	stratum zonale of thalamus	<http://purl.obolibrary.org/obo/HBA_265505326>	OK			
stria medullaris	<http://purl.obolibrary.org/obo/UBERON_0006086>	stria medullaris of thalamus	<http://purl.obolibrary.org/obo/DHBA_10590>	OK			
stria medullaris	<http://purl.obolibrary.org/obo/UBERON_0006086>	stria medullaris	<http://purl.obolibrary.org/obo/DMBA_17794>	OK			
stria medullaris	<http://purl.obolibrary.org/obo/UBERON_0006086>	stria medullaris	<http://purl.obolibrary.org/obo/HBA_9275>	OK			
stria medullaris	<http://purl.obolibrary.org/obo/UBERON_0006086>	stria medullaris	<http://purl.obolibrary.org/obo/MBA_802>	OK			
stria of telencephalon	<http://purl.obolibrary.org/obo/UBERON_0016555>	stria medullaris of thalamus	<http://purl.obolibrary.org/obo/DHBA_10590>	gen	stria medullaris (http://purl.obolibrary.org/obo/UBERON_0006086)		
stria of telencephalon	<http://purl.obolibrary.org/obo/UBERON_0016555>	medial olfactory stria	<http://purl.obolibrary.org/obo/DHBA_12076>	gen	medial olfactory stria (http://purl.obolibrary.org/obo/UBERON_0034734)		
stria of telencephalon	<http://purl.obolibrary.org/obo/UBERON_0016555>	medial olfactory tract, left	<http://purl.obolibrary.org/obo/HBA_265505518>	gen	olfactory tract (http://purl.obolibrary.org/obo/UBERON_0002265)	Add Term	
stria of telencephalon	<http://purl.obolibrary.org/obo/UBERON_0016555>	stria medullaris	<http://purl.obolibrary.org/obo/HBA_9275>	gen	stria medullaris (http://purl.obolibrary.org/obo/UBERON_0006086)		
stria terminalis	<http://purl.obolibrary.org/obo/UBERON_0003029>	stria terminalis	<http://purl.obolibrary.org/obo/DHBA_10591>	OK			
stria terminalis	<http://purl.obolibrary.org/obo/UBERON_0003029>	stria terminalis	<http://purl.obolibrary.org/obo/HBA_9278>	OK			
stria terminalis	<http://purl.obolibrary.org/obo/UBERON_0003029>	stria terminalis	<http://purl.obolibrary.org/obo/MBA_301>	OK			
striatum	<http://purl.obolibrary.org/obo/UBERON_0002435>	striatum	<http://purl.obolibrary.org/obo/DHBA_10333>	OK			
striatum	<http://purl.obolibrary.org/obo/UBERON_0002435>	striatum (corpus striatum)	<http://purl.obolibrary.org/obo/DMBA_15851>	OK			
striatum	<http://purl.obolibrary.org/obo/UBERON_0002435>	striatum	<http://purl.obolibrary.org/obo/HBA_4277>	OK			
striatum	<http://purl.obolibrary.org/obo/UBERON_0002435>	striatum	<http://purl.obolibrary.org/obo/MBA_477>	OK			
striatum	<http://purl.obolibrary.org/obo/UBERON_0002435>	striatum	<http://purl.obolibrary.org/obo/PBA_10080>	OK			
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	cerebral cortex	<http://purl.obolibrary.org/obo/DHBA_10159>	gen	cerebral cortex (http://purl.obolibrary.org/obo/UBERON_0000956)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	frontal neocortex	<http://purl.obolibrary.org/obo/DHBA_10161>	gen	frontal cortex (http://purl.obolibrary.org/obo/UBERON_0001870)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	primary motor cortex (area M1, area 4)	<http://purl.obolibrary.org/obo/DHBA_10163>	gen	primary motor cortex (http://purl.obolibrary.org/obo/UBERON_0001384)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	head and face region of M1	<http://purl.obolibrary.org/obo/DHBA_10164>	gen	primary motor cortex (http://purl.obolibrary.org/obo/UBERON_0001384)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	upper limb region of M1	<http://purl.obolibrary.org/obo/DHBA_10165>	gen	primary motor cortex (http://purl.obolibrary.org/obo/UBERON_0001384)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	trunk region of M1	<http://purl.obolibrary.org/obo/DHBA_10166>	gen	primary motor cortex (http://purl.obolibrary.org/obo/UBERON_0001384)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	lower limb region of M1	<http://purl.obolibrary.org/obo/DHBA_10167>	gen	primary motor cortex (http://purl.obolibrary.org/obo/UBERON_0001384)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	laterodorsal subdivision of area 6	<http://purl.obolibrary.org/obo/DHBA_10169>	gen	premotor cortex (http://purl.obolibrary.org/obo/UBERON_0016634)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	lateroventral subdivision of area 6	<http://purl.obolibrary.org/obo/DHBA_10170>	gen	premotor cortex (http://purl.obolibrary.org/obo/UBERON_0016634)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	medial subdivision of area 6 (area MII)	<http://purl.obolibrary.org/obo/DHBA_10171>	gen	premotor cortex (http://purl.obolibrary.org/obo/UBERON_0016634)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	caudal portion of DFC (area 8)	<http://purl.obolibrary.org/obo/DHBA_10174>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	laterodorsal subdivision of area 8	<http://purl.obolibrary.org/obo/DHBA_10175>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	lateroventral subdivision of area 8	<http://purl.obolibrary.org/obo/DHBA_10176>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	medial subdivision of area 8	<http://purl.obolibrary.org/obo/DHBA_10177>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	rostrodorsal portion of DFC (area 9)	<http://purl.obolibrary.org/obo/DHBA_10178>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	lateral subdivision of area 9	<http://purl.obolibrary.org/obo/DHBA_10179>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	medial subdivision of area 9	<http://purl.obolibrary.org/obo/DHBA_10180>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	intermediate portion of DFC (area 9/46)	<http://purl.obolibrary.org/obo/DHBA_10181>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	dorsal subdivision of A9/46	<http://purl.obolibrary.org/obo/DHBA_10182>	gen		Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	ventral subdivision of A9/46	<http://purl.obolibrary.org/obo/DHBA_10183>	gen		Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	rostroventral portion of DFC (area 46)	<http://purl.obolibrary.org/obo/DHBA_10184>	Verify	dorsolateral prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0009834)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	ventrolateral prefrontal cortex	<http://purl.obolibrary.org/obo/DHBA_10185>	Verify	prefrontal cortex (http://purl.obolibrary.org/obo/UBERON_0000451)	Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	caudal portion of VFC (area 44)	<http://purl.obolibrary.org/obo/DHBA_10186>	gen		Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	rostral portion of VFC (area 45)	<http://purl.obolibrary.org/obo/DHBA_10187>	gen		Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	rostral subdivision of A45	<http://purl.obolibrary.org/obo/DHBA_10188>	gen		Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	caudal subdivision of A45	<http://purl.obolibrary.org/obo/DHBA_10189>	gen		Add Term	
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	frontal polar cortex (area 10)	<http://purl.obolibrary.org/obo/DHBA_10190>	Verify	frontal pole (http://purl.obolibrary.org/obo/UBERON_0002795)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	medial subdivision of area 10	<http://purl.obolibrary.org/obo/DHBA_10191>	Verify	frontal pole (http://purl.obolibrary.org/obo/UBERON_0002795)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	lateral subdivision of area 10	<http://purl.obolibrary.org/obo/DHBA_10192>	Verify	frontal pole (http://purl.obolibrary.org/obo/UBERON_0002795)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	orbital subdivision of area 10	<http://purl.obolibrary.org/obo/DHBA_10193>	Verify	frontal pole (http://purl.obolibrary.org/obo/UBERON_0002795)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	medial orbital frontal cortex (area 14)	<http://purl.obolibrary.org/obo/DHBA_10195>	gen	orbitofrontal cortex (http://purl.obolibrary.org/obo/UBERON_00041067)		
structure with developmental contribution from neural crest	<http://purl.obolibrary.org/obo/UBERON_0010314>	rostral subdivision of area 14	<http://purl.obolibrary.org/obo/DHBA_10196>	Verify	orbitofrontal cortex (http://purl.obolibrary.org/obo/UBERON_00041067)		
